gene	Estimate	Std..Error	t.value	Pr...t..	FDR
ENSG00000165246.13	-1.24842138788617	0.0588378505171024	-21.2179978859576	2.28382830972221e-44	2.9893028745954e-40
ENSG00000002586.18	-1.27676529729079	0.06578524264597	-19.4080806870597	1.72914579917748e-40	1.1316394682717e-36
ENSG00000278847.1	-1.5878746295771	0.0937817482035857	-16.9315955395721	6.84415740575393e-35	2.98610587613044e-31
ENSG00000229807.10	1.51419730648858	0.100465801737638	15.0717685052954	1.7679202922475e-30	5.7850771763069e-27
ENSG00000067646.11	-1.65506703727433	0.111454552567236	-14.8497033019435	6.09601446719102e-30	1.59581466722126e-26
ENSG00000005889.15	0.978758551934723	0.0717913553590855	13.6333761500835	5.81545300830319e-27	1.26864107376134e-23
ENSG00000130021.13	0.846807856289734	0.0633378859969213	13.3696892935596	2.61472687070967e-26	4.88916571581699e-23
ENSG00000147050.14	0.714535586252057	0.0565427990994087	12.6370748819106	1.74385737976294e-24	2.85316865546464e-21
ENSG00000225470.7	1.01315398808271	0.0880717489032697	11.5037341792255	1.2119025951385e-21	1.76251034086309e-18
ENSG00000126012.11	0.536213678094713	0.04689493634711	11.4343619986118	1.81057656689066e-21	2.36986366840318e-18
ENSG00000233864.7	-1.61787613917097	0.143335667843777	-11.2873241078718	4.24019011499638e-21	5.04544076501706e-18
ENSG00000260197.1	-1.60405462521327	0.143425757877846	-11.1838671724463	7.71634780197531e-21	8.41660636500457e-18
ENSG00000183878.15	-1.72323193560855	0.157598587248895	-10.9343108062705	3.26950488529066e-20	3.29188841873611e-17
ENSG00000006757.11	0.701444145340434	0.0697361289535296	10.0585472102683	5.11622430062817e-18	4.78330427649444e-15
ENSG00000114374.12	-1.55357572960885	0.173235749606384	-8.96798572545677	2.56395019066842e-15	2.23730293637726e-12
ENSG00000101846.6	0.47024018184898	0.0573729309384653	8.19620288099506	1.89963876398682e-13	1.55402323636397e-10
ENSG00000273906.1	-1.4112910923163	0.179308983174649	-7.87072162994584	1.1287953161424e-12	8.69105993705172e-10
ENSG00000130741.10	0.424269338343691	0.0541217859387895	7.83915997937558	1.34006123988655e-12	9.74447864937504e-10
ENSG00000215301.9	0.632116137546846	0.0875415867547869	7.22075257006101	3.67436765845472e-11	2.53125254113231e-08
ENSG00000205611.4	-0.925354909157796	0.133510433146991	-6.93095578634673	1.67125940228896e-10	1.09375571582801e-07
ENSG00000258484.3	-0.880966359143439	0.130734880938239	-6.73857162542276	4.50170336602103e-10	2.80584739799282e-07
ENSG00000188153.12	0.411515183894297	0.0621179317318515	6.62474059295328	8.04340376709871e-10	4.78545963216159e-07
ENSG00000261600.1	0.756828375894833	0.115823530267407	6.5343231565081	1.27129015679902e-09	7.23474646188797e-07
ENSG00000169239.12	0.518297491814785	0.0827832455799617	6.26089842435753	4.98262954603896e-09	2.717401588671e-06
ENSG00000146938.14	0.338707973007219	0.0549139137740032	6.16798093104714	7.87403298197368e-09	4.12252870804214e-06
ENSG00000079931.14	-0.637391075068567	0.11076489576752	-5.75445018615248	5.77863355870777e-08	2.80868070897024e-05
ENSG00000214717.11	-0.462400108086098	0.0804579301323702	-5.74710419874527	5.98288772911484e-08	2.80868070897024e-05
ENSG00000169895.5	0.424629343719311	0.0738973363172349	5.74620635710622	6.008332175962e-08	2.80868070897024e-05
ENSG00000086712.12	0.251338833474323	0.0440055531563089	5.71152537457172	7.07661836965947e-08	3.19399509794734e-05
ENSG00000205664.10	0.564800255074985	0.100199616792229	5.63675064991655	1.00519857650737e-07	4.38568138930165e-05
ENSG00000183943.5	0.493695256453575	0.088793559063324	5.56003455274827	1.43703503841972e-07	6.06753277995989e-05
ENSG00000198753.11	0.244043590610168	0.0439522373107696	5.5524725370549	1.48834043150787e-07	6.08777747125203e-05
ENSG00000149531.15	-0.542833389319724	0.10178866792038	-5.33294521296153	4.07168732928557e-07	0.000161497925615209
ENSG00000016402.13	0.591750710746073	0.11512498030268	5.14007219971094	9.66498722957458e-07	0.000372073581905593
ENSG00000105227.14	0.552168507104987	0.110328107514914	5.00478544898765	1.75205092818096e-06	0.000655216988541733
ENSG00000130985.16	0.282930370310759	0.0570433580001858	4.95991786300235	2.12957476325145e-06	0.000774277891005505
ENSG00000224975.1	0.390794846351448	0.080374612255429	4.86216773412865	3.24549981430918e-06	0.00114811748836467
