gene_ID	RE_sample_size	RE_beta	RE_SE	RE_Z	RE_metaP	RE_I2	RE_H2	RE_Q_val	RE_Q_pval	RE_metaP_FDR
ENSG00000233885.7	12	-0.175445120700346	0.0293118318593337	-5.98547103921379	2.15764513087195e-09	0	1	7.99539610614869	0.713716181514776	5.46020777929013e-07
ENSG00000278974.1	12	-0.287930654984417	0.048139639636774	-5.98115518015773	2.21560668896072e-09	0	1	5.35095838493712	0.912986341185815	5.53680111571284e-07
ENSG00000282870.1	2	-0.63023157836937	0.105477303927201	-5.97504443993323	2.30027469329049e-09	0	1	0.143496218221232	0.704829743037822	5.67741872447697e-07
ENSG00000183943.5	11	0.218376216695737	0.0370150549150838	5.89965940066046	3.64252719443951e-09	46.3681477093264	1.86456360779823	18.5531184269469	0.0463199081368385	8.88065898429691e-07
ENSG00000156253.6	13	-0.148957514655533	0.025443706321569	-5.85439529811188	4.78748698995917e-09	0	1	5.45913395478207	0.940862383313223	1.15314987835258e-06
ENSG00000128218.7	10	0.32117616414352	0.0553324250540109	5.8044837873998	6.45646072189206e-09	18.7869456212543	1.23132913501368	11.0462967389193	0.272548880091137	1.53663765181031e-06
ENSG00000065621.14	11	-0.164063771394807	0.028423654187126	-5.77208582382476	7.82962168598259e-09	0	1	7.4399321357335	0.683361546941387	1.84152702054311e-06
ENSG00000186281.12	13	-0.221169972742097	0.0383568219245852	-5.76611829772936	8.11181308005922e-09	6.88461904977244	1.07393643219322	12.1988248130416	0.429846842589741	1.88571357089005e-06
ENSG00000204241.7	12	0.16356609369649	0.0284761919012721	5.74395952462951	9.24879044763071e-09	0	1	2.93358399069151	0.991574781400609	2.10253769197159e-06
ENSG00000267470.5	13	0.167318216029986	0.0291299849357688	5.74384835415878	9.25486779179172e-09	29.7746070453515	1.42398633589106	14.8235482375394	0.251228269756736	2.10253769197159e-06
ENSG00000278611.1	12	0.220926432006889	0.0385121250595508	5.73654223612105	9.66289612468674e-09	11.2132975657834	1.12629478579961	13.1866653044326	0.281300396199031	2.17056875645772e-06
ENSG00000237248.4	13	-0.185282113310708	0.03236098303691	-5.72547852144606	1.03142595328429e-08	0	1	10.4243816142676	0.578782743475999	2.2911408508955e-06
ENSG00000129007.14	13	-0.190376848946243	0.0332953502790567	-5.7178208774092	1.0789879313517e-08	22.2491197022421	1.28615907134474	16.7722365200174	0.158367733740966	2.37045348610804e-06
ENSG00000100346.17	12	0.113590103679673	0.0198975775864698	5.70874033213535	1.13815379259441e-08	0.107596571554757	1.00107712466476	8.39506480321543	0.67753812008378	2.47325767625516e-06
ENSG00000227370.1	13	0.19690860807287	0.0346261158220755	5.68670794855174	1.29511659527179e-08	0	1	7.88298353572608	0.794206663023119	2.78408290028749e-06
ENSG00000198502.5	13	-0.223304883084289	0.0394065682924407	-5.66669194402104	1.45580732993507e-08	0	1	10.947064291578	0.533460669227086	3.09622341915552e-06
ENSG00000169084.13	12	-0.543198447596658	0.0959892188678871	-5.65895268242863	1.52299534808762e-08	89.9674938404866	9.96759916316368	116.37555696083	9.69526528482075e-20	3.20502347357555e-06
ENSG00000187922.13	9	0.273122964985988	0.0483612183043518	5.64756171499119	1.62739423333219e-08	0	1	2.81705674828685	0.945308260522669	3.38904849091429e-06
